Electronics gain - 15% (Filter, Preamp, FOAM) and phase
Total Bin : 257
Freq(MHz)    	    Gain(unitless)    	    Phase(rad)
0.000, 2.802, 0.000
3.906, 2.671, 0.000
7.812, 2.546, 0.000
11.719, 2.427, 0.000
15.625, 2.313, 0.000
19.531, 2.205, 0.000
23.437, 2.101, 0.000
27.344, 2.003, 0.000
31.250, 1.909, 0.000
35.156, 1.820, 0.000
39.062, 1.735, 0.000
42.969, 1.653, 0.000
46.875, 1.576, 0.000
50.781, 1.503, 0.000
54.687, 1.432, 0.000
58.594, 1.365, 0.000
62.500, 1.301, 0.000
66.406, 1.240, 0.000
70.312, 1.182, 0.000
74.219, 1.127, 0.000
78.125, 1.074, 0.000
82.031, 1.024, 0.000
85.937, 0.976, 0.000
89.844, 0.930, 0.000
93.750, 0.887, 0.000
97.656, 0.845, 0.000
101.560, 0.813, 0.804
105.470, 0.795, 2.280
109.370, 0.776, 2.179
113.280, 0.758, 1.990
117.190, 0.781, 1.768
121.090, 1.147, 1.546
125.000, 1.685, 1.846
128.910, 2.473, 0.032
132.810, 3.630, 2.193
136.720, 10.632, 1.956
140.620, 34.599, -0.700
144.530, 112.595, -2.649
148.440, 366.370, 2.483
152.340, 703.589, 1.658
156.250, 950.537, 1.021
160.160, 1284.308, 0.495
164.060, 1735.078, 0.038
167.970, 2250.706, -0.374
171.870, 2689.794, -0.747
175.780, 3214.911, -1.088
179.690, 3842.545, -1.400
183.590, 4538.569, -1.685
187.500, 4526.567, -1.947
191.410, 4514.076, -2.188
195.310, 4502.139, -2.411
199.220, 4489.716, -2.617
203.120, 4552.175, -2.809
207.030, 4634.671, -2.990
210.940, 4718.663, 3.124
214.840, 4803.623, 2.963
218.750, 4841.935, 2.811
222.660, 4838.034, 2.665
226.560, 4834.137, 2.526
230.470, 4830.242, 2.391
234.370, 4823.018, 2.262
238.280, 4805.283, 2.137
242.190, 4788.163, 2.015
246.090, 4770.555, 1.897
250.000, 4753.012, 1.782
253.910, 4744.265, 1.669
257.810, 4735.534, 1.560
261.720, 4726.819, 1.452
265.620, 4718.120, 1.346
269.530, 4724.099, 1.242
273.440, 4735.534, 1.140
277.340, 4746.450, 1.039
281.250, 4757.940, 0.940
285.160, 4767.261, 0.842
289.060, 4775.501, 0.746
292.970, 4783.755, 0.651
296.870, 4791.472, 0.557
300.780, 4798.649, 0.464
304.690, 4800.306, 0.372
308.590, 4802.517, 0.281
312.500, 4804.730, 0.191
316.410, 4806.942, 0.102
320.310, 4783.755, 0.014
324.220, 4758.487, -0.074
328.120, 4733.353, -0.160
332.030, 4708.352, -0.245
335.940, 4688.878, -0.330
339.840, 4672.173, -0.414
343.750, 4654.992, -0.497
347.660, 4638.407, -0.580
351.560, 4624.012, -0.662
355.470, 4613.908, -0.743
359.370, 4603.297, -0.823
363.280, 4593.238, -0.903
367.190, 4581.618, -0.983
371.090, 4563.194, -1.061
375.000, 4544.320, -1.140
378.910, 4526.046, -1.218
382.810, 4507.844, -1.295
386.720, 4516.676, -1.372
390.620, 4530.738, -1.449
394.530, 4544.320, -1.526
398.440, 4557.943, -1.603
402.340, 4552.175, -1.679
406.250, 4533.347, -1.757
410.160, 4514.596, -1.835
414.060, 4495.924, -1.914
417.970, 4460.864, -1.996
421.870, 4393.078, -2.079
425.780, 4325.825, -2.168
429.690, 4260.091, -2.263
433.590, 3851.846, -2.370
437.500, 1017.932, -2.499
441.410, 268.979, -2.679
445.310, 71.084, -3.018
449.220, 18.785, 2.531
453.120, 40.947, -0.366
457.030, 152.535, -1.874
460.940, 568.289, -2.207
464.840, 2116.990, -2.386
468.750, 3972.088, -2.514
472.660, 4081.962, -2.619
476.560, 4194.391, -2.711
480.470, 4309.917, -2.795
484.370, 4398.645, -2.874
488.280, 4405.740, -2.950
492.190, 4412.340, -3.023
496.090, 4418.949, -3.095
500.000, 4425.567, 3.118
503.910, 4424.548, 3.048
507.810, 4424.039, 2.980
511.720, 4423.020, 2.912
515.620, 4422.002, 2.844
519.530, 4417.422, 2.776
523.440, 4410.816, 2.709
527.340, 4404.219, 2.642
531.250, 4397.632, 2.574
535.160, 4387.518, 2.507
539.060, 4372.894, 2.439
542.970, 4358.318, 2.371
546.870, 4343.791, 2.303
550.780, 4324.829, 2.235
554.690, 4288.633, 2.166
558.590, 4253.231, 2.097
562.500, 4217.635, 2.027
566.410, 4182.336, 1.956
570.310, 4168.875, 1.885
574.220, 4157.372, 1.814
578.120, 4145.424, 1.742
582.030, 4133.985, 1.669
585.940, 4114.044, 1.595
589.840, 4090.430, 1.521
593.750, 4066.951, 1.445
597.660, 4043.607, 1.369
601.560, 4027.809, 1.292
605.470, 4023.638, 1.215
609.370, 4019.008, 1.136
613.280, 4014.847, 1.056
617.190, 4009.765, 0.976
621.090, 3999.162, 0.894
625.000, 3988.586, 0.812
628.910, 3978.038, 0.728
632.810, 3967.518, 0.643
636.720, 3972.088, 0.558
640.620, 3979.412, 0.471
644.530, 3986.290, 0.384
648.440, 3993.640, 0.295
652.340, 3980.329, 0.205
656.250, 3953.839, 0.115
660.160, 3927.524, 0.023
664.060, 3901.386, -0.070
667.970, 3879.439, -0.164
671.870, 3866.508, -0.259
675.780, 3853.620, -0.355
679.690, 3840.775, -0.452
683.590, 3828.414, -0.550
687.500, 3825.330, -0.650
691.410, 3822.249, -0.751
695.310, 3819.170, -0.852
699.220, 3816.093, -0.956
703.120, 3806.439, -1.060
707.030, 3795.499, -1.166
710.940, 3784.591, -1.274
714.840, 3773.714, -1.383
718.750, 3753.348, -1.494
722.660, 3724.508, -1.607
726.560, 3695.889, -1.721
730.470, 3667.490, -1.838
734.370, 3648.958, -1.958
738.280, 3658.634, -2.080
742.190, 3667.912, -2.205
746.090, 3677.214, -2.333
750.000, 3686.540, -2.465
753.910, 3643.921, -2.601
757.810, 3601.794, -2.740
761.720, 3560.155, -2.884
765.620, 3518.592, -3.033
769.530, 3476.314, 3.097
773.440, 3433.752, 2.937
777.340, 3391.322, 2.771
781.250, 3349.801, 2.598
785.160, 3312.600, 2.417
789.060, 3280.340, 2.228
792.970, 3248.022, 2.028
796.870, 3216.391, 1.817
800.780, 3179.940, 1.592
804.690, 3124.057, 1.351
808.590, 3069.155, 1.090
812.500, 3015.219, 0.806
816.410, 2962.572, 0.494
820.310, 2875.536, 0.155
824.220, 2788.810, -0.210
828.120, 2704.387, -0.591
832.030, 2622.823, -0.975
835.940, 2262.918, -1.349
839.840, 1839.581, -1.705
843.750, 1495.440, -2.046
847.660, 1215.679, -2.376
851.560, 923.356, -2.705
855.470, 632.075, -3.048
859.370, 432.632, 2.864
863.280, 296.120, 2.454
867.190, 202.591, 2.022
871.090, 138.077, 1.613
875.000, 94.117, 1.270
878.910, 64.153, 1.011
882.810, 43.729, 0.839
886.720, 27.566, 0.764
890.620, 17.160, 0.841
894.530, 10.684, 1.280
898.440, 6.650, 2.439
902.340, 4.720, -2.478
906.250, 3.663, -1.618
910.160, 2.842, -1.313
914.060, 2.205, -1.205
917.970, 1.878, -1.168
921.870, 1.933, -1.158
925.780, 1.990, -1.159
929.690, 2.049, -1.160
933.590, 2.093, -1.151
937.500, 1.909, -1.121
941.410, 1.742, -1.046
945.310, 1.590, -0.865
949.220, 1.451, -0.384
953.120, 1.279, 0.540
957.030, 1.119, 1.153
960.940, 0.977, 1.541
964.840, 0.855, 2.123
968.750, 0.746, 3.032
972.660, 0.650, -2.720
976.560, 0.567, -2.514
980.470, 0.494, -2.425
984.370, 0.429, -2.384
988.280, 0.370, -2.367
992.190, 0.319, -2.363
996.090, 0.275, -2.368
1000.000, 0.236, -2.378
