Electronics gain + 15% (Filter, Preamp, FOAM) and phase
Total Bin : 257
Freq(MHz)    	    Gain(unitless)    	    Phase(rad)
0.000, 3.790, 0.000
3.906, 3.613, 0.000
7.812, 3.444, 0.000
11.719, 3.283, 0.000
15.625, 3.129, 0.000
19.531, 2.983, 0.000
23.437, 2.843, 0.000
27.344, 2.711, 0.000
31.250, 2.583, 0.000
35.156, 2.462, 0.000
39.062, 2.347, 0.000
42.969, 2.237, 0.000
46.875, 2.132, 0.000
50.781, 2.033, 0.000
54.687, 1.938, 0.000
58.594, 1.847, 0.000
62.500, 1.761, 0.000
66.406, 1.678, 0.000
70.312, 1.600, 0.000
74.219, 1.525, 0.000
78.125, 1.454, 0.000
82.031, 1.386, 0.000
85.937, 1.320, 0.000
89.844, 1.258, 0.000
93.750, 1.199, 0.000
97.656, 1.143, 0.000
101.560, 1.101, 0.804
105.470, 1.075, 2.280
109.370, 1.050, 2.179
113.280, 1.026, 1.990
117.190, 1.057, 1.768
121.090, 1.552, 1.546
125.000, 2.279, 1.846
128.910, 3.345, 0.032
132.810, 4.912, 2.193
136.720, 14.384, 1.956
140.620, 46.811, -0.700
144.530, 152.335, -2.649
148.440, 495.676, 2.483
152.340, 951.915, 1.658
156.250, 1286.021, 1.021
160.160, 1737.592, 0.495
164.060, 2347.458, 0.038
167.970, 3045.073, -0.374
171.870, 3639.132, -0.747
175.780, 4349.585, -1.088
179.690, 5198.737, -1.400
183.590, 6140.417, -1.685
187.500, 6124.179, -1.947
191.410, 6107.280, -2.188
195.310, 6091.129, -2.411
199.220, 6074.322, -2.617
203.120, 6158.825, -2.809
207.030, 6270.437, -2.990
210.940, 6384.073, 3.124
214.840, 6499.019, 2.963
218.750, 6550.853, 2.811
222.660, 6545.576, 2.665
226.560, 6540.303, 2.526
230.470, 6535.034, 2.391
234.370, 6525.260, 2.262
238.280, 6501.265, 2.137
242.190, 6478.103, 2.015
246.090, 6454.281, 1.897
250.000, 6430.546, 1.782
253.910, 6418.711, 1.669
257.810, 6406.898, 1.560
261.720, 6395.107, 1.452
265.620, 6383.338, 1.346
269.530, 6391.427, 1.242
273.440, 6406.898, 1.140
277.340, 6421.668, 1.039
281.250, 6437.212, 0.940
285.160, 6449.823, 0.842
289.060, 6460.971, 0.746
292.970, 6472.139, 0.651
296.870, 6482.580, 0.557
300.780, 6492.289, 0.464
304.690, 6494.532, 0.372
308.590, 6497.523, 0.281
312.500, 6500.516, 0.191
316.410, 6503.510, 0.102
320.310, 6472.139, 0.014
324.220, 6437.953, -0.074
328.120, 6403.949, -0.160
332.030, 6370.124, -0.245
335.940, 6343.776, -0.330
339.840, 6321.175, -0.414
343.750, 6297.930, -0.497
347.660, 6275.492, -0.580
351.560, 6256.016, -0.662
355.470, 6242.346, -0.743
359.370, 6227.989, -0.823
363.280, 6214.380, -0.903
367.190, 6198.660, -0.983
371.090, 6173.732, -1.061
375.000, 6148.198, -1.140
378.910, 6123.474, -1.218
382.810, 6098.848, -1.295
386.720, 6110.796, -1.372
390.620, 6129.822, -1.449
394.530, 6148.198, -1.526
398.440, 6166.629, -1.603
402.340, 6158.825, -1.679
406.250, 6133.351, -1.757
410.160, 6107.983, -1.835
414.060, 6082.720, -1.914
417.970, 6035.286, -1.996
421.870, 5943.576, -2.079
425.780, 5852.587, -2.168
429.690, 5763.653, -2.263
433.590, 5211.322, -2.370
437.500, 1377.202, -2.499
441.410, 363.913, -2.679
445.310, 96.172, -3.018
449.220, 25.415, 2.531
453.120, 55.399, -0.366
457.030, 206.371, -1.874
460.940, 768.861, -2.207
464.840, 2864.164, -2.386
468.750, 5374.002, -2.514
472.660, 5522.654, -2.619
476.560, 5674.765, -2.711
480.470, 5831.065, -2.795
484.370, 5951.109, -2.874
488.280, 5960.708, -2.950
492.190, 5969.636, -3.023
496.090, 5978.577, -3.095
500.000, 5987.531, 3.118
503.910, 5986.154, 3.048
507.810, 5985.465, 2.980
511.720, 5984.086, 2.912
515.620, 5982.708, 2.844
519.530, 5976.512, 2.776
523.440, 5967.574, 2.709
527.340, 5958.649, 2.642
531.250, 5949.738, 2.574
535.160, 5936.054, 2.507
539.060, 5916.268, 2.439
542.970, 5896.548, 2.371
546.870, 5876.893, 2.303
550.780, 5851.239, 2.235
554.690, 5802.269, 2.166
558.590, 5754.371, 2.097
562.500, 5706.211, 2.027
566.410, 5658.454, 1.956
570.310, 5640.243, 1.885
574.220, 5624.680, 1.814
578.120, 5608.514, 1.742
582.030, 5593.039, 1.669
585.940, 5566.060, 1.595
589.840, 5534.110, 1.521
593.750, 5502.345, 1.445
597.660, 5470.763, 1.369
601.560, 5449.389, 1.292
605.470, 5443.746, 1.215
609.370, 5437.482, 1.136
613.280, 5431.851, 1.056
617.190, 5424.977, 0.976
621.090, 5410.630, 0.894
625.000, 5396.322, 0.812
628.910, 5382.052, 0.728
632.810, 5367.818, 0.643
636.720, 5374.002, 0.558
640.620, 5383.910, 0.471
644.530, 5393.216, 0.384
648.440, 5403.160, 0.295
652.340, 5385.151, 0.205
656.250, 5349.311, 0.115
660.160, 5313.710, 0.023
664.060, 5278.346, -0.070
667.970, 5248.653, -0.164
671.870, 5231.158, -0.259
675.780, 5213.722, -0.355
679.690, 5196.343, -0.452
683.590, 5179.620, -0.550
687.500, 5175.446, -0.650
691.410, 5171.277, -0.751
695.310, 5167.112, -0.852
699.220, 5162.949, -0.956
703.120, 5149.889, -1.060
707.030, 5135.087, -1.166
710.940, 5120.329, -1.274
714.840, 5105.612, -1.383
718.750, 5078.060, -1.494
722.660, 5039.040, -1.607
726.560, 5000.321, -1.721
730.470, 4961.898, -1.838
734.370, 4936.826, -1.958
738.280, 4949.916, -2.080
742.190, 4962.470, -2.205
746.090, 4975.054, -2.333
750.000, 4987.672, -2.465
753.910, 4930.011, -2.601
757.810, 4873.016, -2.740
761.720, 4816.681, -2.884
765.620, 4760.448, -3.033
769.530, 4703.248, 3.097
773.440, 4645.664, 2.937
777.340, 4588.258, 2.771
781.250, 4532.083, 2.598
785.160, 4481.752, 2.417
789.060, 4438.108, 2.228
792.970, 4394.382, 2.028
796.870, 4351.588, 1.817
800.780, 4302.272, 1.592
804.690, 4226.665, 1.351
808.590, 4152.387, 1.090
812.500, 4079.415, 0.806
816.410, 4008.186, 0.494
820.310, 3890.432, 0.155
824.220, 3773.096, -0.210
828.120, 3658.877, -0.591
832.030, 3548.525, -0.975
835.940, 3061.596, -1.349
839.840, 2488.845, -1.705
843.750, 2023.242, -2.046
847.660, 1644.743, -2.376
851.560, 1249.246, -2.705
855.470, 855.161, -3.048
859.370, 585.326, 2.864
863.280, 400.634, 2.454
867.190, 274.093, 2.022
871.090, 186.809, 1.613
875.000, 127.335, 1.270
878.910, 86.795, 1.011
882.810, 59.163, 0.839
886.720, 37.294, 0.764
890.620, 23.216, 0.841
894.530, 14.454, 1.280
898.440, 8.998, 2.439
902.340, 6.386, -2.478
906.250, 4.955, -1.618
910.160, 3.844, -1.313
914.060, 2.983, -1.205
917.970, 2.541, -1.168
921.870, 2.615, -1.158
925.780, 2.692, -1.159
929.690, 2.772, -1.160
933.590, 2.831, -1.151
937.500, 2.583, -1.121
941.410, 2.357, -1.046
945.310, 2.151, -0.865
949.220, 1.963, -0.384
953.120, 1.731, 0.540
957.030, 1.513, 1.153
960.940, 1.322, 1.541
964.840, 1.157, 2.123
968.750, 1.010, 3.032
972.660, 0.880, -2.720
976.560, 0.767, -2.514
980.470, 0.668, -2.425
984.370, 0.581, -2.384
988.280, 0.500, -2.367
992.190, 0.431, -2.363
996.090, 0.371, -2.368
1000.000, 0.320, -2.378
